seg_id,from_stop,to_stop,mode,duration,cost
SEG01,S01,S02,MTR,2,5.2
SEG02,S02,S01,MTR,2,5.2
SEG03,S02,S03,MTR,2,5.2
SEG04,S03,S02,MTR,2,5.2
SEG05,S03,S04,MTR,3,5.2
SEG06,S04,S03,MTR,3,5.2
SEG07,S01,S05,MTR,7,11.5
SEG08,S05,S01,MTR,7,11.5
SEG09,S05,S06,MTR,2,4.9
SEG10,S06,S05,MTR,2,4.9
SEG11,S06,S07,MTR,3,4.9
SEG12,S07,S06,MTR,3,4.9
SEG13,S07,S08,MTR,2,4.5
SEG14,S08,S07,MTR,2,4.5
SEG15,S08,S09,MTR,5,6.2
SEG16,S09,S08,MTR,5,6.2
SEG17,S09,S10,MTR,10,10.5
SEG18,S10,S09,MTR,10,10.5
SEG19,S11,S01,MTR,4,6.0
SEG20,S01,S11,MTR,4,6.0
SEG21,S11,S12,MTR,3,5.2
SEG22,S12,S11,MTR,3,5.2
SEG23,S04,S13,MTR,4,5.8
SEG24,S13,S04,MTR,4,5.8
SEG25,S13,S14,MTR,3,5.2
SEG26,S14,S13,MTR,3,5.2
SEG27,S02,S09,MTR,12,13.8
SEG28,S09,S02,MTR,12,13.8
SEG29,S01,S05,Ferry,25,3.7
SEG30,S05,S01,Ferry,25,3.7
SEG31,S13,S05,Ferry,18,4.2
SEG32,S05,S13,Ferry,18,4.2
SEG33,S12,S01,Tram,15,3.0
SEG34,S01,S12,Tram,15,3.0
SEG35,S01,S03,Tram,10,3.0
SEG36,S03,S01,Tram,10,3.0
SEG37,S03,S04,Tram,8,3.0
SEG38,S04,S03,Tram,8,3.0
SEG39,S04,S13,Tram,12,3.0
SEG40,S13,S04,Tram,12,3.0
SEG41,S01,S05,Bus,30,6.5
SEG42,S05,S01,Bus,30,6.5
SEG43,S05,S07,Bus,15,5.8
SEG44,S07,S05,Bus,15,5.8
SEG45,S07,S10,Bus,25,9.2
SEG46,S10,S07,Bus,25,9.2
SEG47,S07,S15,Bus,20,7.5
SEG48,S15,S07,Bus,20,7.5
SEG49,S05,S15,Minibus,35,8.0
SEG50,S15,S05,Minibus,35,8.0
SEG51,S09,S10,Minibus,15,6.5
SEG52,S10,S09,Minibus,15,6.5
SEG53,S06,S07,Minibus,5,4.5
SEG54,S07,S06,Minibus,5,4.5
